contraction,expansion
ain't,am not
amn't,am not
aren't,are not
can't,can not
could've,could have
couldn't've,could not have
didn't,did not
doesn't,does not
don't,do not
gonna,going to
hadn't,had not
hadn't've,had not have
hasn't,has not
haven't,have not
he'd,he would
he'd've,he would have
he'll,he will
he's,he is
he'sn't,he is not
how'd,how did
how'll,how will
how's,how is
i'd,i would
i'd've,i would have
i'll,i will
i'm,i am
i've,i have
i'ven't,i have not
isn't,is not
it'd,it would
it'd've,it would have
it'll,it will
it's,it is
it'sn't,it is not
let's,let us
ma'am,madam
mightn't,might not
mightn't've,might not have
might've,might have
mustn't,must not
must've,must have
needn't,need not
not've,not have
o'clock,oclock
ol',old
oughtn't,ought not
shan't,shall not
she'd,she would
she'd've,she would have
she'll,she will
she's,she is
she'sn't,she is not
should've,should have
shouldn't,should not
shouldn't've,should not have
somebody'd,somebody would
somebody'd've,somebody would have
somebody'dn't've,somebody would not have
somebody'll,somebody will
somebody's,somebody is
someone'd,someone would
someone'd've,somebody would have
someone'll,someone will
someone's,someone is
something'd,something would
something'd've,something would have
something'll,something will
something's,something is
that'll,that will
that's,that is
there'd,there would
there'd've,there would have
there're,there are
there's,there is
they'd,they would
they'dn't,they would not
they'd'ven't,they would not have
they'll,they will
they'lln't've,they will not have
they'll'ven't,they will have not
they're,they are
they've,they have
they'ven't,they have not
'tis,it is
'twas,it was
wanna,want to
wasn't,was not
we'd,we would
we'd've,we would have
we'dn't've,we would not have
we'll,we will
we'lln't've,we will not have
we're,we are
we've,we have
weren't,were not
what'll,what will
what're,what are
what's,what is
what've,what have
when's,when is
where'd,where did
where's,where is
where've,where have
who'd,who would
who'd've,who would have
who'll,who will
who're,who are
who's,who is
who've,who have
why'll,why will
why're,why are
why's,why is
won't,will not
won't've,will not have
would've,would have
wouldn't,would not
wouldn't've,would not have
y'all,you all
y'all'd've,you all would have
y'all'dn't've,you all would not have
y'all'll,you all will
y'all'lln't,you all will not
y'all'll've,you all will have
y'all'll'vent',you all will have not
you'd,you would
you'd've,you would have
you'll,you will
you're,you are
you'ren't,you are not
you've,you have
you'ven't,you have not
